"package"	"repo"	"description"	"tags"
"1"	"Seurat"	"CRAN"	"single cell omics analysis"	"bioinformatics,scRNAseq"
"2"	"DESeq2"	"BioConductor"	"Differential gene expression analysis based on the negative binomial distribution"	"bioinformatics,RNAseq"
"3"	"dplyr"	"CRAN"	"Fast data frames manipulation and database query"	"wrangling"
"4"	"data.table"	"CRAN"	"Fast data manipulation in a short and flexible syntax"	"io,wrangling,data_analysis"
"5"	"reshape2"	"CRAN"	"Flexible rearrange reshape and aggregate data"	"wrangling"
"6"	"tidyr"	"CRAN"	"Easily tidy data with spread and gather functions"	"wrangling"
"7"	"broom"	"CRAN"	"Convert statistical analysis objects into tidy data frames"	"wrangling"
"8"	"rlist"	"CRAN"	"A toolbox for non-tabular data manipulation with lists"	"wrangling"
"9"	"lubridate"	"CRAN"	"A set of functions to work with dates and times"	"wrangling"
"10"	"stringi"	"CRAN"	"ICU based string processing package"	"wrangling"
"11"	"stringr"	"CRAN"	"Consistent API for string processing built on top of stringi"	"wrangling"
"12"	"bigmemory"	"CRAN"	"Shared memory and memory-mapped matrices. The big* packages provide additional tools including linear models (biglm) and Random Forests (bigrf)"	"data_analysis"
"13"	"fuzzyjoin"	"CRAN"	"Join tables together on inexact matching"	"wrangling"
"14"	"tidyverse"	"CRAN"	"Easily install and load packages from the tidyverse"	"wrangling"
"15"	"snakecase"	"CRAN"	"Automatically parse and convert strings into cases like snake or camel among others"	"wrangling,utility"
"16"	"DataExplorer"	"CRAN"	"Fast exploratory data analysis with minimum code"	"exploration,plotting"
"17"	"SmartEDA"	"CRAN"	"data exploration - generate a complete HTML report"	"summary"
"18"	"tableone"	"CRAN"	"producing the typical Table 1 (hence the name) from research publications"	"summary"
"19"	"Hmisc"	"CRAN"	"functions to describe data as well as utility functions"	"exploration,summary,utility"
"20"	"sqldf"	"CRAN"	"Run SQL queries on your data frame"	"exploration,data_analysis"
"21"	"splitstackshape"	"CRAN"	"separate columns with multiple comma separated items into new data frame rows"	"wrangling"
"22"	"validate"	"CRAN"	"Intuitive data validation based on rules you can define save and re-use"	"cleaning"
"23"	"paint"	"https://milesmcbain.r-universe.dev"	"better print methods for dataframe like objects"	"data_analysis exploration,summary"
"24"	"diffobj"	"CRAN"	"Diffs for R Objects"	"data_analysis exploration"
"25"	"dataCompareR"	"CRAN"	"allows users to compare two datasets and view a report on the similarities and differences"	"exploration"
"26"	"datapack"	"CRAN"	"provides an abstraction for collating multiple data objects of different types and metadata describing those objects into a bundle that can be transported and loaded using a single composite file. It is primarily meant as a container to bundle together files for transport to or from DataONE data repositories"	"wrangling"
"27"	"skimr"	"CRAN"	"data summary. It is adept at handling both categorical and numeric data"	"exploration,summary"
"28"	"summarytools"	"CRAN"	"data summary"	"exploration,summary"
"29"	"pastecs"	"CRAN"	"data summary"	"time_series,summary"
"30"	"psych"	"CRAN"	"data summary"	"exploration,summary"
"31"	"hablar"	"CRAN"	"Simple tools for converting columns to new data types. Intuitive functions for columns with missing values"	"wrangling,cleaning"
"32"	"janitor"	"CRAN"	"Simple Tools for Examining and Cleaning Dirty Data"	"exploration,wrangling,cleaning"
"33"	"outliers"	"CRAN"	"A collection of some tests commonly used for identifying outliers"	"exploration,data_analysis,cleaning"
"34"	"frequency"	"CRAN"	"Generate SPSS/SAS styled frequency tables"	"exploration,summary"
"35"	"missForest"	"CRAN"	"The function missForest is used to impute missing values particularly in the case of mixed-type data"	"imputation"
"36"	"Amelia"	"CRAN"	"A tool that multiply imputes missing data in a single cross-section (such as a survey) from a time series"	"imputation,time_series"
"37"	"mice"	"CRAN"	"Multivariate Imputation by Chained Equations"	"imputation"
"38"	"VIM"	"CRAN"	"Visualization and Imputation of Missing Values"	"exploration,imputation"
"39"	"mi"	"CRAN"	"Missing Data Imputation and Model Checking"	"imputation"
"40"	"wrangle"	"CRAN"	"Supports systematic scrutiny modification and integration of data"	"wrangle"
"41"	"tibble"	"CRAN"	"alternative to dataframes used in tidyverse"	"wrangle,utility"
"42"	"devtools"	"CRAN"	"various"	"development"
"43"	"R6"	"CRAN"	"simpler faster lighter-weight alternative to Rs built-in classes"	"dev"
"44"	"pryr"	"CRAN"	"Make it easier to understand whats going on in R"	"dev,performance"
"45"	"lineprof"	"CRAN"	"profiling"	"development,performance"
"46"	"recover"	"CRAN"	"exception handling"	"development"
"47"	"git2r"	"CRAN"	"Gives you programmatic access to Git repositories from R"	"development,git"
